,Text,Rating,Category
26,"One of the worst experiences you will ever have. They got paid for time bound delivery for delivery by 12:30 p.m next day. The package was not delivered the entire day. There is no way you can reach their delivery guy, there is no way you can even reach them even over call or over customer care as the call disconnects after waiting for 10 long minutes. Cannot be trusted at all. I am looking to inform the concerned ministry and ensure that strict action is taken against them
For breach of trust and callous nature.",1.0,Relavent
27,"Very wrost experience. Without attempting delivery they will update that customer not available. They don't even call the customer.

When i ask delivery boy number or branch address their response like we don't have any number like that looks very funny and my shipment missed completely. Very Bad courier better they shutdown their services instead of playing with customers.",1.0,Relavent
28,"Good service, We need to show ID proof to receive any courier. If you missed delivery boy. You can go to Store directly and get courier by showing id proof   .",4.0,Relavent
29,"Very wrost experience. Without attempting delivery they will update that customer not available. They don't even call the customer.

When i ask delivery boy number or branch address their response like we don't have any number like that looks very funny and my shipment missed completely. Very Bad courier better they shutdown their services instead of playing with customers.",1.0,Relavent
30,Wrost service with rude delivery boys,1.0,Relavent
31,"Stupidity at its Best. Few months ago I gave 5 star rating. It was my mistake. As I am working in night shift I was not able to collect the parcel at my office. I travelled from my house to collect the parcel near blue dart office. They have the parcel with them, but they say that they only deliver at office and I should be there by 5:30. Even though I have all the ID card, they are refusing to give me my courier. What kind of service is this. Stupid management.",1.0,Relavent
32,Worst service that I have ever seen. They are updating online as location unavailable without calling me to deliver the courier. When I ask customer service they are saying the delivery guys contact will not given to customers. Without communication between customer and the delivery guys how can they assure that the location is not available. Where the other delivery services like speed post ems will contact the customer to deliver the courier. The courier services should be user friendly with customers by improving the communication with delivery guys.😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠,1.0,Relavent
33,No responsibility worst service ever,1.0,Relavent
34,"Customer support is nice , I feel that , they are providing the best to the customers, thank you for nice service",5.0,Relavent
35,"Critical: Quality, Value
My bank sent my ATM card via bluedart . The bluedart service didn't even bother to call or enquire but updated delivery status as ""consignee not available"" for multiple days. I called customer support and asked if I could come to collect it with ID proof. They said they won't be handing over the parcel by hand. It will be returned back to bank after 7 days.

Pathetic service",1.0,Relavent
36,This is the worst ever service provider in this area. These morons will simply update the delivery status with some false input like prohibited area entry restricted without even reaching out to the customer.,1.0,Relavent
37,Near and clean centre. Prompt front desk,5.0,Relavent
38,"There is no rating below 1 so giving 1 star... The service of this bluedart center Gachibowli is worst. They don't even bother to deliver and make a call to customer and just return the parcel saying that customer is unavailable. Even if you visit the center, they remain involved in their chores leaving you unattended. Worst experience.",1.0,Relavent
39,"Blue dart is the worst possible courier service in India. It is expensive, never delivers on time and the staff is so rude that you wonder if they are ""customer care"" or ""customer scare"". I absolutely detested the 2 times I have had to do business with them. Never going back",1.0,Relavent
40,"The courier wasn't delivered even though the address was very clear. After visiting this place, I was able to get the delivery executive number and on call the problem was sorted out.",3.0,Newest
41,,1.0,Newest
42,I love Blue dart,5.0,Newest
43,Good staf and responds politely. Very organized with the data ✊,4.0,Newest
44,,4.0,Newest
45,,5.0,Newest
46,Such a bad service and courier guys do not have any responsibility. I will never ever use or suggest this courier service.,1.0,Newest
47,Good response,5.0,Newest
48,,5.0,Newest
49,,4.0,Newest
50,,5.0,Newest
51,,5.0,Newest
52,Wrost service with rude delivery boys,1.0,Newest
53,,5.0,Newest
54,Good response,5.0,Newest
55,Worst service done by this courier department. Twice they returned my parcel even without calling me and updated as customer not available first time and then restricted area entry prohibited. They are least bothered to interact with the customer and the management is doesn't look into the customer negative feedback and take strict action against the delivery team.,1.0,Newest
56,,5.0,Newest
57,"No more a trusted partner for deliveries, most of the time call center number doesnt work

Network conjusted is yhe recorded message you hear whdn you  the custlmer care",1.0,Newest
58,,1.0,Newest
59,,5.0,Newest
60,,1.0,Newest
61,Near and clean centre. Prompt front desk,5.0,Newest
62,,5.0,Newest
63,,3.0,Newest
64,No responsibility worst service ever,1.0,Newest
65,Front desk lady was very polite and helpful as she told me the rates and process and also help me get laptop packed before shipping. Overall good experience at the Blue Dart service point.,5.0,Newest
66,,5.0,Newest
67,,5.0,Newest
68,,5.0,Newest
69,Good,5.0,Newest
