,Text,Rating,Category
13,"#trsawhneymotora #daryaganj
Happy to buy new car from tr sawhney daryaganj",5.0,Relavent
14,Very nice experience with Maruti suzuki dariya ganj showroom.. happy customers service there...😊,5.0,Relavent
15,#Tr sawhney motors# best deal in Maruti I have purchase Breeza petrol I'm very happy with service.,5.0,Relavent
16,"Pathetic experience from this dealer.. Bought new car 3 months ago and didn’t receive the registration certificate till date.
They just do false commitments.

I recommend not to buy from this dealer",1.0,Relavent
17,Excellent experience with Varun Kumar he is very nice sales man .. wonderful dealing with him,5.0,Relavent
18,Wonderful dealing with all sales team.we are very happy from purchased vehicle at maruti Suzuki trsawhney Dariya ganj..happy customers service,5.0,Relavent
19,If I m talking about front desk staff miss gauri is very coprative and very helpful for everything tnaks 4 support and have a alot blessing 4 you bright future,5.0,Relavent
20,Excellent experience with all team at maruti suzuki trsawhney dariya ganj..happy customers dealing there.,5.0,Relavent
21,Excellent customer service there..we r very happy ..all staff is excellent,5.0,Relavent
22,I am so happy 😁 that my first car purchasing experience with your company and sales person Mr Rahul Saraswat assistant sales Manager pick up the vehicle that suits my lifestyle ⏩🤠#Happycustomer #Happybuying #Excellent Experience #Daryaganj #Best deal #Bestoffer,5.0,Relavent
23,If I m talking about front desk staff miss gauri is very coprative and very helpful for everything tnaks 4 support and have a alot blessing 4 you bright future,5.0,Relavent
24,"Team of sales Ashish and Jyoti very helpful and it was excellent service thank you very much.

Good luck

#happybuying#tr Sawhney #",5.0,Relavent
25,Nice showroom n service excellent #trsawhney motor#best deal in Maruti#happybuying#,5.0,Relavent
26,Sanjay bro iis very nice person this is very exilent service,5.0,Relavent
27,"*Swift* It one of the best and safest car in its segment . Overall satisfied with the performance of  the car The staffs in this dealership are well trained
#Happy customer#Happy buying#Excellent Experience#Daryaganj#Best deal #Best offer",5.0,Relavent
28,Excellent experience with Sanjay and all team from maruti suzuki darya ganj arena..happy customers service there,5.0,Relavent
29,"Would highly recommend this auto shop! He was very professional, very helpful & had great prices. Will definitely come back.
Excellent service given by staff special thanks for SIMRANJEET SINGH
Feel nice to visit showroom very polite nature and very competitive nice to meet you mr SIMRANJEET SINGH",5.0,Relavent
30,#tr Sawhney#Best Deal Maruti Suzuki#Happy buying#Alok ji very nice dealing,5.0,Relavent
31,#Tr sawhney motor # 5th Car purchase  i love Tr sawhney best deal best offer Available#Happy buying#Happy new year,5.0,Relavent
32,Excellent experience with Varun Kumar he is very nice sales man .. wonderful dealing with him,5.0,Relavent
33,Very nice experience with Maruti suzuki dariya ganj showroom.. happy customers service there...😊,5.0,Relavent
34,Wonderful experience with trsawhney dariya ganj showroom.. Very much happy,5.0,Relavent
35,Very much satisfaction from dariya ganj team...very cooperative team there... happy dealing,5.0,Relavent
36,Very nice experience with all Maruti Suzuki Darius ganj arena team happy customer service there,5.0,Relavent
37,Excellent experience with trsawhney dariya ganj,5.0,Relavent
38,#Happybuying#Affordable price Best dealership Tr sawhney Dariyaganj i have purchase २nd Car and one more Booking Done.,5.0,Relavent
39,Service is very nice good stuff #Tr Sawyney #best dealership.,5.0,Relavent
40,Best service By dealership happy to buy new car from tr sahwney daryaganj,5.0,Newest
41,Wonderful experience,5.0,Newest
42,Happy to buy new car from tr sawhney motors daryaganj #daryaganj #trsawhneymotors,5.0,Newest
43,Excellent experience,5.0,Newest
44,Excellent experience,5.0,Newest
45,Sanjay bro iis very nice person this is very exilent service,5.0,Newest
46,Excellent experience,5.0,Newest
47,Wonderful experience,5.0,Newest
48,Very nice experience with all team,5.0,Newest
49,Wonderful experience.,5.0,Newest
50,Excellent experience with trsawhney dariya ganj,5.0,Newest
51,Wonderful dealing with trsawhney dariya ganj,5.0,Newest
52,Very much satisfied.. wonderful dealing,5.0,Newest
53,Excellent customer services.,5.0,Newest
54,Wonderful experience with trsawhney dariya ganj,5.0,Newest
55,Excellent experience,5.0,Newest
56,Excellent experience,5.0,Newest
57,Wonderful experience,5.0,Newest
58,Good service service excellent Rating,5.0,Newest
59,Wonderful dealing with all team,5.0,Newest
60,Wonderful dealing,5.0,Newest
61,Excellent experience,5.0,Newest
62,Best service by tr Sawhney motors,5.0,Newest
63,Wonderfull experience,5.0,Newest
64,Excellent experience,5.0,Newest
65,Best service by tr Sawhney motors 😄,5.0,Newest
66,Excellent experience.....loved ur service,5.0,Newest
67,Excellent customer service there..we r very happy ..all staff is excellent,5.0,Newest
68,Wonderful dealing with trsswhney n Rahul... happy customers service.,5.0,Newest
69,Wonderful dealing with all team,5.0,Newest
